Image,Audio,Label
03005216.jpg,Fringilla-coelebs-234032.png,Fringilla coelebs
043feeef6b30c6247eb95c5cc4629a38-141.jpg,Fringilla-coelebs-168175.png,Fringilla coelebs
10308289.082fc533.500.jpg,Fringilla-coelebs-213928.png,Fringilla coelebs
1130874_large42963.jpg,Fringilla-coelebs-512407.png,Fringilla coelebs
12544038.jpg,Fringilla-coelebs-177404.png,Fringilla coelebs
127280.jpg,Fringilla-coelebs-536517.png,Fringilla coelebs
12_CHS00526n.jpg,Fringilla-coelebs-278175.png,Fringilla coelebs
152295.jpg,Fringilla-coelebs-167197.png,Fringilla coelebs
152296.jpg,Fringilla-coelebs-463626.png,Fringilla coelebs
153046.jpg,Fringilla-coelebs-176831.png,Fringilla coelebs
184251.jpg,Fringilla-coelebs-180001.png,Fringilla coelebs
18CHS00444x.jpg,Fringilla-coelebs-247639.png,Fringilla coelebs
18CHS00648o.jpg,Fringilla-coelebs-310175.png,Fringilla coelebs
1ES79692_BOFIN_M10_3_2012-10-19_2-76.jpg,Fringilla-coelebs-176750.png,Fringilla coelebs
1EV96399-BOFIN-M3-2018-04-13-3-1024x.jpg,Fringilla-coelebs-324070.png,Fringilla coelebs
20102012.jpg,Fringilla-coelebs-177663.png,Fringilla coelebs
2012_fringuelli_002.jpg,Fringilla-coelebs-168016.png,Fringilla coelebs
202723.jpg,Fringilla-coelebs-177432.png,Fringilla coelebs
2171571.jpg,Fringilla-coelebs-366473.png,Fringilla coelebs
2239311_l.jpg,Fringilla-coelebs-176748.png,Fringilla coelebs
2344520883_f5c16e8ed9_o.jpg,Fringilla-coelebs-205724.png,Fringilla coelebs
2366163.jpg,Fringilla-coelebs-180984.png,Fringilla coelebs
2450837_l.jpg,Fringilla-coelebs-177414.png,Fringilla coelebs
2477.jpg,Fringilla-coelebs-205205.png,Fringilla coelebs
24868.jpg,Fringilla-coelebs-206360.png,Fringilla coelebs
250px-Chaffinch_%28Fringilla_coelebs.jpg,Fringilla-coelebs-187361.png,Fringilla coelebs
250px-Fulda_Buchfinkweibchen_Juni_20.JPG,Fringilla-coelebs-372989.png,Fringilla coelebs
252881.jpg,Fringilla-coelebs-278566.png,Fringilla coelebs
2559696.jpg,Fringilla-coelebs-313372.png,Fringilla coelebs
2613273_l.jpg,Fringilla-coelebs-141193.png,Fringilla coelebs
2633895.jpg,Fringilla-coelebs-265526.png,Fringilla coelebs
2721162.jpg,Fringilla-coelebs-426190.png,Fringilla coelebs
2724700.jpg,Fringilla-coelebs-180632.png,Fringilla coelebs
28548457.jpg,Fringilla-coelebs-184283.png,Fringilla coelebs
2915812_large60385.jpg,Fringilla-coelebs-310392.png,Fringilla coelebs
291786.jpg,Fringilla-coelebs-246716.png,Fringilla coelebs
2922910_l.jpg,Fringilla-coelebs-482442.png,Fringilla coelebs
2e34f521b9b5ed638634b48d875e2186.jpg,Fringilla-coelebs-142955.png,Fringilla coelebs
30646.jpg,Fringilla-coelebs-480674.png,Fringilla coelebs
3095191.jpg,Fringilla-coelebs-534100.png,Fringilla coelebs
310983.jpg,Fringilla-coelebs-528247.png,Fringilla coelebs
311279.jpg,Fringilla-coelebs-312827.png,Fringilla coelebs
311280.jpg,Fringilla-coelebs-372323.png,Fringilla coelebs
05750000201.jpg,Parus-major-263367.png,Parus major
1280px-Cinciallegra_(Parus_major).jpg,Parus-major-125448.png,Parus major
1327087080_IMGP1823.jpg,Parus-major-235098.png,Parus major
1670524.jpg,Parus-major-532302.png,Parus major
1713491_l.jpg,Parus-major-134527.png,Parus major
174.039.Parus_major001.Janowek.MJ_.2.JPG,Parus-major-536914.png,Parus major
1848115_l.jpg,Parus-major-310678.png,Parus major
1895770_l.jpg,Parus-major-465662.png,Parus major
1936214.jpg,Parus-major-168221.png,Parus major
201711720916_T60A2517.jpg,Parus-major-212210.png,Parus major
20182321112_DSC08211.JPG,Parus-major-361594.png,Parus major
2118426_l.jpg,Parus-major-363337.png,Parus major
220px-Parus_major_g1.jpg,Parus-major-122942.png,Parus major
2309535.jpg,Parus-major-153792.png,Parus major
2532792.jpg,Parus-major-411043.png,Parus major
25457.jpg,Parus-major-155699.png,Parus major
25458.jpg,Parus-major-211491.png,Parus major
2570286_m.jpg,Parus-major-169873.png,Parus major
2621620_l.jpg,Parus-major-150232.png,Parus major
265560.jpg,Parus-major-139327.png,Parus major
2676100_large96252.jpg,Parus-major-207532.png,Parus major
271px-Parus_major-3.jpg,Parus-major-412159.png,Parus major
27573205.jpg,Parus-major-212208.png,Parus major
2790188.jpg,Parus-major-169054.png,Parus major
297028.jpg,Parus-major-443775.png,Parus major
2992553_large1442.jpg,Parus-major-310679.png,Parus major
2KS81450-TAOXE-M3-2015-03-17-4-1024x.jpg,Parus-major-361592.png,Parus major
3031489.jpg,Parus-major-199180.png,Parus major
3044745.jpg,Parus-major-405784.png,Parus major
3078185_l.jpg,Parus-major-170338.png,Parus major
3080585.jpg,Parus-major-416752.png,Parus major
3374829_l.jpg,Parus-major-359286.png,Parus major
3391259_l.jpg,Parus-major-131706.png,Parus major
3400963_l.jpg,Parus-major-301900.png,Parus major
3403066_l.jpg,Parus-major-298864.png,Parus major
3408744_large13027.jpg,Parus-major-480475.png,Parus major
3412607_l.jpg,Parus-major-200095.png,Parus major
3413879_l.jpg,Parus-major-455702.png,Parus major
3415465_l.jpg,Parus-major-466803.png,Parus major
353183_l.jpg,Parus-major-129323.png,Parus major
3639701_large64743.jpg,Parus-major-181530.png,Parus major
380439a4970fdc3e276e3a6b65d83482.jpg,Parus-major-168924.png,Parus major
407216.jpg,Parus-major-532226.png,Parus major
000687_full.jpg,Sylvia-communis-179998.png,Sylvia communis
1024px-Tallareta_vulgar_03_(Sylvia_c.jpg,Sylvia-communis-283580.png,Sylvia communis
119796.jpg,Sylvia-communis-206631.png,Sylvia communis
14093562.jpg,Sylvia-communis-142078.png,Sylvia communis
17015.jpg,Sylvia-communis-198329.png,Sylvia communis
17016.jpg,Sylvia-communis-187751.png,Sylvia communis
17017.jpg,Sylvia-communis-519929.png,Sylvia communis
1832975_large96493.jpg,Sylvia-communis-188718.png,Sylvia communis
20170708-_7080123-2048-330-60.jpg,Sylvia-communis-179999.png,Sylvia communis
21764_2762645535e39cd67a14d4.jpg,Sylvia-communis-349922.png,Sylvia communis
3562653_l.jpg,Sylvia-communis-199672.png,Sylvia communis
368_120609125743.jpg,Sylvia-communis-501882.png,Sylvia communis
394801.jpg,Sylvia-communis-190916.png,Sylvia communis
4252_8624_Fauvette_grisette_Sylvia_c.jpg,Sylvia-communis-188994.png,Sylvia communis
426093_m.jpg,Sylvia-communis-189365.png,Sylvia communis
49955603467_6537166dfd_z.jpg,Sylvia-communis-199378.png,Sylvia communis
500380_366_240.jpg,Sylvia-communis-188726.png,Sylvia communis
581_Sylvia_communis_picture_s.jpg,Sylvia-communis-199176.png,Sylvia communis
5884__590x_whitethroat-0002.jpg,Sylvia-communis-325323.png,Sylvia communis
58_150708115110.jpg,Sylvia-communis-483415.png,Sylvia communis
62677.jpg,Sylvia-communis-192220.png,Sylvia communis
640_130518083945.jpg,Sylvia-communis-182326.png,Sylvia communis
909_Product.jpg,Sylvia-communis-189119.png,Sylvia communis
969328.jpg,Sylvia-communis-192218.png,Sylvia communis
BLWS527577.jpg,Sylvia-communis-188731.png,Sylvia communis
common-whitethroat-sylvia-communis-m.jpg,Sylvia-communis-263176.png,Sylvia communis
common-whitethroat-warbler-sylvia-co.jpg,Sylvia-communis-134536.png,Sylvia communis
CRW_1146_cierniowka-400-d.jpg,Sylvia-communis-473819.png,Sylvia communis
curruca-zarcera-w.jpg,Sylvia-communis-194904.png,Sylvia communis
die-dorngrasmuecke-sylvia-communis-8.jpg,Sylvia-communis-201139.png,Sylvia communis
dorngrasmuecke-2.jpg,Sylvia-communis-372179.png,Sylvia communis
dorngrasmuecke-sylvia-communis-0adf8.jpg,Sylvia-communis-201152.png,Sylvia communis
dorngrasmuecke-sylvia-communis-114cb.jpg,Sylvia-communis-401813.png,Sylvia communis
dorngrasmuecke-sylvia-communis-195b3.jpg,Sylvia-communis-188737.png,Sylvia communis
dorngrasmuecke-sylvia-communis-1ec70.jpg,Sylvia-communis-196318.png,Sylvia communis
dorngrasmuecke-sylvia-communis-2b7db.jpg,Sylvia-communis-192695.png,Sylvia communis
dorngrasmuecke-sylvia-communis-452aa.jpg,Sylvia-communis-124491.png,Sylvia communis
dorngrasmuecke-sylvia-communis-6f4d2.jpg,Sylvia-communis-371676.png,Sylvia communis
dorngrasmuecke-sylvia-communis-9322f.jpg,Sylvia-communis-367794.png,Sylvia communis
dorngrasmuecke-sylvia-communis-aa83c.jpg,Sylvia-communis-196326.png,Sylvia communis
dorngrasmuecke-sylvia-communis-aefbf-1.jpg,Sylvia-communis-263656.png,Sylvia communis
dorngrasmuecke-sylvia-communis-aefbf.jpg,Sylvia-communis-194672.png,Sylvia communis
dorngrasmuecke-sylvia-communis-e4fcf.jpg,Sylvia-communis-199781.png,Sylvia communis
000598_full.jpg,Turdus-merula-206851.png,Turdus merula
1200px-Blackbird_-_Turdus_merula_-_K.jpg,Turdus-merula-72862.png,Turdus merula
1200px-Common_blackbird_(Turdus_meru.jpg,Turdus-merula-132596.png,Turdus merula
1200px-Turdus_merula-3.jpg,Turdus-merula-129088.png,Turdus merula
12286130.jpg,Turdus-merula-132618.png,Turdus merula
12487748.jpg,Turdus-merula-177721.png,Turdus merula
126601.jpg,Turdus-merula-197097.png,Turdus merula
138664.jpg,Turdus-merula-155897.png,Turdus merula
14169283.jpg,Turdus-merula-394983.png,Turdus merula
179131.jpg,Turdus-merula-180743.png,Turdus merula
1792533_large3173.jpg,Turdus-merula-207245.png,Turdus merula
181465.jpg,Turdus-merula-537177.png,Turdus merula
1832241_large33411.jpg,Turdus-merula-318262.png,Turdus merula
1920px-Turdus_merula_Amsel_01_ms.jpg,Turdus-merula-215581.png,Turdus merula
1960.jpeg,Turdus-merula-142275.png,Turdus merula
200787.jpg,Turdus-merula-473918.png,Turdus merula
201753123311_DSCN1592.JPG,Turdus-merula-531092.png,Turdus merula
214437.jpg,Turdus-merula-278587.png,Turdus merula
24980462.jpg,Turdus-merula-394729.png,Turdus merula
25272096.jpg,Turdus-merula-194011.png,Turdus merula
25543447.jpg,Turdus-merula-252882.png,Turdus merula
2588504.jpg,Turdus-merula-467464.png,Turdus merula
2603574_l.jpg,Turdus-merula-323956.png,Turdus merula
26666.jpg,Turdus-merula-207238.png,Turdus merula
2781.jpg,Turdus-merula-438242.png,Turdus merula
28085.jpg,Turdus-merula-458092.png,Turdus merula
29411908.jpg,Turdus-merula-534614.png,Turdus merula
3034374_large42608.jpg,Turdus-merula-298601.png,Turdus merula
3049956.jpg,Turdus-merula-237132.png,Turdus merula
30782003.jpg,Turdus-merula-177684.png,Turdus merula
310642.jpg,Turdus-merula-287927.png,Turdus merula
3327257_large322.jpg,Turdus-merula-366999.png,Turdus merula
353071.jpg,Turdus-merula-401810.png,Turdus merula
3578216.jpg,Turdus-merula-180718.png,Turdus merula
3596895_l.jpg,Turdus-merula-172676.png,Turdus merula
3849794_m.jpg,Turdus-merula-325210.png,Turdus merula
4117_Merle_noir_male_adulte.jpg,Turdus-merula-99075.png,Turdus merula
4305841.jpg,Turdus-merula-476942.png,Turdus merula
4782793.jpg,Turdus-merula-206850.png,Turdus merula
5193382836236671.jpg,Turdus-merula-127996.png,Turdus merula
5808507.jpg,Turdus-merula-226288.png,Turdus merula
5e61f96a290799124eee2a9f11fe63d0.jpg,Turdus-merula-144196.png,Turdus merula
5ffee7eaea6b8a11ebfad7ffe9680b46.jpg,Turdus-merula-156083.png,Turdus merula
